text,true_label,predicted_label,confidence
atraparon de inmediato al poner blinding lights poder ver un adelanto de como kamala usando sus poderes se vio genial por los colores efectos le tengo mucha fe esta serie apúnteme para el estreno,neutral,positive,0.9
identification modi supporter,neutral,neutral,0.6
modi againmodi undisputed leader ââï¸,neutral,positive,0.85
omar abdullah mrs sara pilot inauguration nirav modi boutique new delhi,positive,neutral,0.65
uttar pradesh deled student general category fully depent scholarship mere scholarship aaye mjhe apne deled cancel krne pdge hmre lye modi yogi kuch kiya,negative,negative,0.85
ever come sf bay area preform feel left,negative,neutral,0.5
pavan also exposed jagan criminal life casesby alliance bjp jagan cant get single vote special status cause inefficient administration joketell central govt schemes claimed tdpdid modi kept manmohan singh photo state,negative,negative,0.85
really helpful making stay focused studying think guilt killing plant motivational however weird bug finals week using app hours straight suddenly stopped working click plant button nothing happens left alone awhile okay wonder happened also really like store think motivational,positive,neutral,0.65
âwhy modiâ senior congress leader digvijaya singh talks bjp fielding former madhya pradesh chief minister shivraj singh chouhan bhopal watch full show,positive,neutral,0.65
government modi create job mindset change change mindset youth dharmashikshan needed,neutral,neutral,0.65
waaayyyy hungry oh fyi work email blah,negative,neutral,0.65
beause didnt anything yearsn bjp mathuraits bcz modi yogi orr hinduytva cardshe one failed mps,negative,negative,0.85
fact converting young idiot rajdeep sardesai sorry say debate tukde tukde gang idiot rahul hurt sure every logical indian vote modi matter,negative,negative,0.85
joking right modi going get another term gujarat,positive,negative,0.85
give complete credit modi todays success still give credit scientistsit nehrucredit thing,positive,neutral,0.65
chowkidar narendra modi asked people assam opposed india ever work assam neck deeâ¦,neutral,neutral,0.65
nirav modi vijay mallya may end prison cellmates remarks judge,neutral,neutral,0.65
grandfather modi bhakt playing role pollster,neutral,neutral,0.65
wont mark words people talk ratti rattayi nonsense main motive defame rahul modi adress students hum pak chuke uske rally vaado nonsense mann baat military self standable dont need help,positive,negative,0.85
ratan bhai sharda peta finish hindu festivals rituals traditions make hindus non hindus attack every thing hindu centric hate hindus bjp modi agenda get rid hindus using vegetarianism understood,negative,negative,0.9
app said need later,neutral,neutral,0.65
even afraid modi says legal,negative,neutral,0.65
enjoying mothers day,positive,positive,0.85
annadebenham php jquery hack,neutral,neutral,0.6
sorry modi,negative,negative,0.85
congress never accept achievement modi govtif done better comparison modi govt people india never kick centre,positive,negative,0.85
pakistan punished nawas sharif panama paperswht modi abey madarjaat thoda soch modi wants bring balck money remain silent panama aisi kya majburi soch haraami kutte,positive,negative,0.9
loved happy birthday said sounded like mixture john lennon chrissie hynde janis joplin,positive,positive,0.85
thop,positive,neutral,0.5
ghazab hai bhai must get place guinese book records top lier,positive,positive,0.85
mugs displayed sale outside venue election rally addressed prime minister narendra modi meerut uttar pradesh march,neutral,neutral,0.65
varanasi never safe seat modi election bjp barely scrap thru margin votes whereas congress margin votes,negative,negative,0.85
old tactics indians commended drdo achievements modi running away credit shameful bjp sees criticism modi means drdo army nobody buys theory anymore,positive,negative,0.85
help sure im alllll way haha try alot free time right haha,positive,neutral,0.65
say gujarat high court modis pocket judge namesake decisions taken modi,positive,neutral,0.6
raining cats dogs mysore thankfully pigsswines,positive,neutral,0.6
din pehle lucknow vapis videsh lauta aap observations vipreet mahaul bilkul garam hai social gathering without charged discussion election tive impact modi ghar maids leke electrician tak everyone aware,positive,neutral,0.65
final days cronyism modi govt knows bounds top unpaid npas whopping â¹ million anil ambani benefited rafale deal adani privatisation domestic airports waiving â¹ trillion npas cronies,positive,negative,0.9
defeat modi lier,neutral,negative,0.85
feeling proud like modi feeling safe since hold post thank strong leadership,positive,positive,0.85
issue keep antinationals looters traitors foreign dynasts power verdict modiits fight survival national integrity fiscal discipline,negative,negative,0.85
arnab hope may would opposition channel comment modi,neutral,neutral,0.6
tough questions modi nothjing tough every thing mumkin modi moteover toughest arnab,negative,neutral,0.65
rather blow crs sardar patel statue modi could built quality sardar patel vidyalyas india,neutral,neutral,0.65
damn sirf vote karne appeal karenge modi according sources,neutral,neutral,0.65
nation fed jumla bazzi feku modi since last yearsgobarnancejoblessnessflop demonestisation half baked gst high petrol prices failures modi,negative,negative,0.9
longest shot kentucky derby gives chills make smile quote race,positive,positive,0.85
modi govt home dream anymore decline home loan interest rate nov around huge savings due lower emis empowering middle class homebuyersvia namo app,positive,neutral,0.65
small vegetable vendors also accepting credit debit card modi,negative,neutral,0.65
two day hangover,neutral,negative,0.85
