text,true_label,predicted_label,confidence
installed love syncs google wish mobile app allowed screen rotation wish could zoom week month view understand mobile beta looking forward evolution,positive,neutral,0.65
catch mig top clause accounting benefits modi schemes top everyone calculates could less additional expenditure managed mig riding top schemes,positive,neutral,0.65
haha reverse psychology pak want modi win,positive,neutral,0.6
im town next week well party get back happy early birthday,positive,positive,0.85
apology dictionary know well last time modi apologized derogatory remarks opponents,positive,neutral,0.65
may narendra modi take oath continue prime ministership india,neutral,neutral,0.6
hours sleep mild hangover carelessness loss brand new ipod pouch,negative,negative,0.85
modi haters say nehrus rule drdo started lies credibility give shape think unleashing peoples innovative thinking making possible achieve disired,positive,neutral,0.65
nirav modi get thousands crores many jobs created india cant youngster wants start business wants give india jobs get bank loan asked rahul gandhi,positive,neutral,0.65
anybody lyrics climb rooftops every morning search life nothing nothing see send signal survivors requesting help go nobody else hear answer get fear cause every time return place called home yes every time walls cry youre last one youre alone oh – anybody must someone else like oh – anybody cold come raise voice set free wander streets crowded im searching houses homes nothing nothing see im fighting dread haunts empty heart grows cause nobody else hear answer get fear every time raise head panic stares face yes every time try think get trapped inside maze oh – anybody must someone else like oh – anybody cold come raise voice set free oh – anybody must someone else like oh – anybody cold come raise voice set free,negative,negative,0.85
â shame modi bjp â election power cost cost life brave men wanted escalated war till election imran khan dosed fire quickly releasing abhinandan,positive,negative,0.85
bout knock feelin lil sick peace yall,negative,neutral,0.6
got beginning parts cried i’ve wanted play loved film score music entire life never thought i’d get point able play songs love much i’m never played piano bought piano back june realization actually learn made emotional thank awesome lessons,positive,positive,0.9
modi going announce runs atm,neutral,neutral,0.6
multiple legal notices gone congress national herald case dont even respond law taking course political vendetta would follow modi arnab,positive,negative,0.85
thop,positive,neutral,0.5
indira gandhi credited modi rajnath singh ndtv,neutral,neutral,0.6
modishahmade constitutional institutionsto lick legs bite theirsupposedopponents people dont protestindia fall totalitarian hands soonindira courage declare emergencythese people cunningly cowardly created undeclared emergency situation,neutral,negative,0.85
brilliant educated composed unbiased peopleâ leader many forms shapes fetch far better results develop economy modi,positive,positive,0.85
ment c u tonyt frend n wen got ther wernt letin priority tickets ill def aplyin agen tho,neutral,neutral,0.65
enjoying mothers day,positive,positive,0.85
looks like despite power five years narendra modi really nothing worthwhile show achievement saying terrorists pakistan want lose opposition win showing desperation nothing else sad,positive,negative,0.85
whats take kind responses general public seem believe modi much every election program like dominated modi supporters hysteric speaking chant modi modi check,positive,neutral,0.65
let explain modi fought seats knowing well win fighting varanasi strategic seats fighting another seat acceptance,positive,neutral,0.6
modi deserve credit energy sector performance maximized solar power generation led bulbs replaced cfl etc lpg replaced biomassbut hard acknowledge contribution dark skinned nonenglish nonelite nonforeign educated ordinary indian,negative,neutral,0.65
becomeits always beenevery institution court central govt bjp ruled state modi mouth piece serve orifices bet,negative,negative,0.85
dont think modi much guts knew close allies make escape goat reference movie tum bhool pauy gauy,positive,negative,0.85
really like app working easy use routines useful little problem got response one hour thank help,positive,positive,0.9
fact converting young idiot rajdeep sardesai sorry say debate tukde tukde gang idiot rahul hurt sure every logical indian vote modi matter,negative,negative,0.85
great lecturer good explanation,positive,positive,0.9
ever come sf bay area preform feel left,negative,neutral,0.5
make short videos explain poll promise change common men life spread social media dont criticize modi,negative,neutral,0.65
modi government first government focusing manufacturing india endorsing indian products abroad making arm forces stronger giving full support statergies security purposes focusing,positive,positive,0.85
caste want govt job studied hard support modi either reduced scrap govt job also privatize look data supporter congrees atleast congrees better record interms govt job,positive,neutral,0.65
another jumla modi forgotten congress power since india faces poverty homelessness hunger due mass unemployment,positive,negative,0.85
âyou far best prime minister india todayâ kabir bedi wishes narendra modi elected actor replies âvote karâ campai,positive,positive,0.85
narendar modi bjp post hold single press conference tenure evidently murder democracy chalia,positive,negative,0.85
helpful lots features would like see countdown mode work widget though also would delightful could add tasks like notification button shortcut pressing home button time prompt would pop still nothing would pay annually though,neutral,neutral,0.65
modi disruptor congress always reactive,neutral,negative,0.85
india developed capabilities target destroy satellites upa govt modis desperation public approval prior elections becoming even apparent tries steal credit,positive,negative,0.85
opposition relying drdo also believe statement drdo chief saraswat give credit modi giving clearance mission sakti,neutral,neutral,0.65
gossip fluffodile latest mad night teg jack lou tess frey gender war v sad friend also,negative,neutral,0.6
bhartiya janta party win seats loksabha elections narendra modi elected prime minister loksabha elections,positive,neutral,0.65
years ago vajpayee announced india nuclear weapons today modi announces india antisatellite weapons posted via,neutral,neutral,0.65
sir year akhilesh yadav told modi model dividing india modi model developing india become oppositions huge trouble,positive,neutral,0.65
vote modi make india beautiful country jai hind,positive,positive,0.85
rajivg got khel ratna foundation intl airport stadium ntnl highway university inst tech engg collg law collg cancer inst modi achievements none,neutral,neutral,0.65
say gujarat high court modis pocket judge namesake decisions taken modi,positive,negative,0.85
man offered without comment,neutral,neutral,0.65
ghazab hai bhai must get place guinese book records top lier,positive,positive,0.85
